OBJECTID,GIS_ID,FEATURECODE,DESCRIPTION,CAPTUREDATE,CAPTUREACTION,DISSOLVE,SHAPEAREA,SHAPELEN
22734,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,276.940697851563,68.4332877225603
22735,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,406.525178125,101.348572662744
22736,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,556.814667773437,105.714875240301
22737,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,544.790063476563,104.734526292387
22738,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,259.883322265625,65.5840388577259
22739,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,247.973928125,63.4757160466516
22740,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,464.161241015625,85.3764550369725
22741,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,391.345147265625,82.231813842473
22742,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,200.157052539063,56.2136640105905
22743,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,216.910262695313,58.8981562376227
22744,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,273.54538828125,66.7850330680487
22745,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,395.78464453125,84.5452097913462
22746,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,207.444349804687,58.0747399859356
22747,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,223.43406640625,59.7129141353729
22748,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,278.797526757812,67.6629956076425
22749,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,271.145913867188,67.4769980592114
22750,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,279.238721679687,68.3091586515438
22751,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,258.976071875,65.324621634649
22752,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,204.15619921875,56.2914874528453
22753,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,212.203628125,58.5993637653557
22754,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,245.308860546875,63.9909255662533
22755,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,213.956715039062,58.8804581886484
22756,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,364.430221289063,79.655136805164
22757,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,1070.54315175781,151.809164372617
22758,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,313.217624414063,76.4950091454737
22759,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,359.50065546875,87.3785586540557
22760,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,267.023857226562,68.4433168261513
22761,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,293.779390820313,72.2506903780267
22762,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,321.815322265625,73.0594383236957
22763,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,324.547675,71.5698999476882
22764,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,190.330397070313,57.1793473352014
22765,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,163.22740703125,50.4126621002872
22766,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,253.93486953125,68.3292716192292
22767,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,241.606267773438,70.8486551227101
22768,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,185.129942382812,54.8539708957078
22769,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,294.131664453125,68.4338294090826
22770,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,497.458325,95.5766565743025
22771,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,243.596152734375,64.1469448445171
22772,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,153.871296875,50.3310908968551
22773,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,277.05482578125,71.5526386667598
22774,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,308.184785546875,70.2879688869148
22775,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,154.426097070312,49.4913570396176
22776,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,178.0804171875,53.6193622898351
22777,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,170.661743164063,52.172825774653
22778,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,196.9663234375,56.6102432653548
22779,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,453.795124023438,91.3416802974414
22780,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,263.766831640625,63.7480404460942
22781,,1090,Intersection,2015-04-24T00:00:00.000Z,A,1,213.616189453125,59.7325054761789
